2-1322-004, 43.0
2-1421-003, 28.0
2-1335-004, 48.0
2-0323-003, 37.0
2-1357-004, 50.0
2-1380-003, 31.0
1-0244-003, 44.0
2-1117-003, 29.0
1-0213-004, 24.0
1-0346-003, 31.0
2-0018-004, 40.0
2-0045-003, 40.0
2-1336-003, 33.0
1-0366-006, 37.0
2-1313-003, 32.0
1-0330-003, 28.0
1-0285-004, 38.0
3-0448-000, 17.0
2-0305-003, 53.0
2-0116-004, 43.0
1-0286-004, 48.0
1-0458-004, 43.0
1-0459-004, 43.0
1-0107-003, 51.0
2-1434-003, 24.0
2-1137-003, 20.0
2-0018-003, 37.0
1-0022-004, 39.0
2-0295-003, 40.0
2-1186-003, 36.0
1-0279-004, 43.0
2-0256-004, 49.0
2-1345-003, 30.0
2-1235-004, 42.0
2-1341-003, 40.0
1-0479-003, 42.0
1-0522-003, 39.0
2-1357-003, 62.0
2-1291-003, 41.0
2-1169-003, 66.0
2-0286-003, 43.0
1-0092-003, 45.0
1-0469-005, 29.0
2-1466-003, 42.0
2-0143-004, 29.0
1-0130-003, 54.0
2-0238-004, 34.0
2-0270-003, 37.0
2-1255-003, 34.0
2-1408-004, 40.0
2-1437-004, 31.0
1-0285-003, 45.0
1-0346-004, 43.0
1-0408-003, 31.0
1-0160-004, 33.0
2-0142-004, 36.0
2-1228-003, 26.0
2-0225-003, 43.0
1-0025-006, 36.0
2-0126-003, 35.0
2-1342-003, 40.0
2-0298-004, 87.0
2-0256-003, 41.0
2-0110-003, 37.0
2-1359-003, 38.0
2-1369-003, 17.0
1-0375-003, 54.0
2-1352-003, 39.0
2-0028-003, 37.0
2-0081-004, 80.0
2-0223-004, 41.0
2-1300-003, 20.0
1-0366-003, 694.0
1-0513-003, 34.0
1-0389-004, 30.0
1-0294-003, 33.0
2-1166-003, 35.0
2-1480-003, 37.0
2-1336-004, 40.0
2-1411-003, 31.0
2-1375-003, 33.0
2-0143-005, 242.0
1-0273-004, 41.0
2-0303-003, 38.0
3-0442-000, 23.0
1-0417-003, 34.0
2-0299-003, 38.0
2-1182-003, 40.0
1-0246-005, 41.0
2-0122-004, 33.0
1-0433-004, 48.0
1-0509-003, 24.0
1-0273-003, 44.0
3-0431-000, 27.0
