"V1","V2"
"ENSG00000165219",6
"ENSG00000166323",6
"ENSG00000135547",6
"ENSG00000065054",6
"ENSG00000070950",6
"ENSG00000115159",6
"ENSG00000198911",6
"ENSG00000184408",6
"ENSG00000142459",6
"ENSG00000227367",6
"ENSG00000144278",6
"ENSG00000130340",6
"ENSG00000151461",6
"ENSG00000103707",6
"ENSG00000104689",6
"ENSG00000230817",6
"ENSG00000153786",6
"ENSG00000069535",6
"ENSG00000112029",6
"ENSG00000180537",6
"ENSG00000156787",6
"ENSG00000184226",6
"ENSG00000274588",6
"ENSG00000090470",6
"ENSG00000100372",6
"ENSG00000116337",6
"ENSG00000183049",6
"ENSG00000106609",6
"ENSG00000233792",6
"ENSG00000248837",6
"ENSG00000135299",6
"ENSG00000163166",6
"ENSG00000009694",6
"ENSG00000091831",6
"ENSG00000106302",6
"ENSG00000104859",6
"ENSG00000258975",6
"ENSG00000137364",6
"ENSG00000189014",6
"ENSG00000099812",6
"ENSG00000185038",6
"ENSG00000251372",6
"ENSG00000136044",6
"ENSG00000256347",6
"ENSG00000179562",6
"ENSG00000165899",6
"ENSG00000186132",6
"ENSG00000010270",6
"ENSG00000243694",6
"ENSG00000187955",6
"ENSG00000228252",6
"ENSG00000100994",6
"ENSG00000135362",6
"ENSG00000264940",6
"ENSG00000180861",6
"ENSG00000075539",6
"ENSG00000232520",6
"ENSG00000231294",6
"ENSG00000185658",6
"ENSG00000107551",6
"ENSG00000186446",6
"ENSG00000124812",6
"ENSG00000256861",6
"ENSG00000173157",6
"ENSG00000228065",6
"ENSG00000065882",6
"ENSG00000250131",6
"ENSG00000253796",6
"ENSG00000232903",6
"ENSG00000184838",6
"ENSG00000173575",6
"ENSG00000164022",6
"ENSG00000259072",6
"ENSG00000149054",6
"ENSG00000158715",6
"ENSG00000099625",6
"ENSG00000125492",6
"ENSG00000156030",6
"ENSG00000236756",6
"ENSG00000131748",6
"ENSG00000248330",6
"ENSG00000100362",6
"ENSG00000135205",6
"ENSG00000012048",6
"ENSG00000153015",6
"ENSG00000227619",6
"ENSG00000134324",6
"ENSG00000117632",6
"ENSG00000253133",6
"ENSG00000110911",6
"ENSG00000157796",6
"ENSG00000075303",6
"ENSG00000238002",6
"ENSG00000100307",6
"ENSG00000148411",6
"ENSG00000114861",5
"ENSG00000176826",5
"ENSG00000134146",5
"ENSG00000246662",5
"ENSG00000149571",5
"ENSG00000072858",5
"ENSG00000249413",5
"ENSG00000162714",5
"ENSG00000259371",5
"ENSG00000128805",5
"ENSG00000198752",5
"ENSG00000105011",5
"ENSG00000025293",5
"ENSG00000160321",5
"ENSG00000119004",5
"ENSG00000013297",5
"ENSG00000163590",5
"ENSG00000231213",5
"ENSG00000259868",5
"ENSG00000133401",5
"ENSG00000228204",5
"ENSG00000166532",5
"ENSG00000128683",5
"ENSG00000095777",5
"ENSG00000246889",5
"ENSG00000148200",5
"ENSG00000155621",5
"ENSG00000171105",5
"ENSG00000204740",5
"ENSG00000107829",5
"ENSG00000068305",5
"ENSG00000169621",5
"ENSG00000104365",5
"ENSG00000182348",5
"ENSG00000018510",5
"ENSG00000070915",5
"ENSG00000153233",5
"ENSG00000265943",5
"ENSG00000179364",5
"ENSG00000171791",5
"ENSG00000118276",5
"ENSG00000168356",5
"ENSG00000153179",5
"ENSG00000171316",5
"ENSG00000113522",5
"ENSG00000132915",5
"ENSG00000234911",5
"ENSG00000241997",5
"ENSG00000156599",5
"ENSG00000223842",5
"ENSG00000171467",5
"ENSG00000134317",5
"ENSG00000240449",5
"ENSG00000149742",5
"ENSG00000097007",5
"ENSG00000163947",5
"ENSG00000253619",5
"ENSG00000110934",5
"ENSG00000227258",5
"ENSG00000247134",5
"ENSG00000136485",5
"ENSG00000168234",5
"ENSG00000235450",5
"ENSG00000071242",5
"ENSG00000148843",5
"ENSG00000231365",5
"ENSG00000131503",5
"ENSG00000107789",5
"ENSG00000257545",5
"ENSG00000065243",5
"ENSG00000230975",5
"ENSG00000184220",5
"ENSG00000109738",5
"ENSG00000248197",5
"ENSG00000082074",5
"ENSG00000173250",5
"ENSG00000164889",5
"ENSG00000214279",5
"ENSG00000148935",5
"ENSG00000132749",5
"ENSG00000110799",5
"ENSG00000182979",5
"ENSG00000166848",5
"ENSG00000178852",5
"ENSG00000159259",5
"ENSG00000115896",5
"ENSG00000124232",5
"ENSG00000157211",5
"ENSG00000137770",5
"ENSG00000196826",5
"ENSG00000221878",5
"ENSG00000081087",5
"ENSG00000226051",5
"ENSG00000141258",5
"ENSG00000262801",5
"ENSG00000140398",5
"ENSG00000169857",5
"ENSG00000008294",5
"ENSG00000183775",5
"ENSG00000253140",5
"ENSG00000227307",5
"ENSG00000267009",5
"ENSG00000112146",5
"ENSG00000219626",5
"ENSG00000250934",5
"ENSG00000087495",5
"ENSG00000080815",5
"ENSG00000105369",5
"ENSG00000144868",5
"ENSG00000198053",5
"ENSG00000255117",5
"ENSG00000146872",5
"ENSG00000081800",5
"ENSG00000166444",5
"ENSG00000140948",5
"ENSG00000264015",5
"ENSG00000137699",5
"ENSG00000179314",5
"ENSG00000265844",5
"ENSG00000143001",5
"ENSG00000164402",5
"ENSG00000177707",5
"ENSG00000253363",5
"ENSG00000174156",5
"ENSG00000119707",5
"ENSG00000047346",5
"ENSG00000128829",5
"ENSG00000175216",5
"ENSG00000155592",5
"ENSG00000170419",5
"ENSG00000136146",5
"ENSG00000101096",5
"ENSG00000075568",5
"ENSG00000174123",5
"ENSG00000004660",5
"ENSG00000135048",5
"ENSG00000236098",5
"ENSG00000144339",5
"ENSG00000180694",5
"ENSG00000154269",5
"ENSG00000175416",5
"ENSG00000145063",5
"ENSG00000148700",5
"ENSG00000154914",5
"ENSG00000080298",5
"ENSG00000249881",5
"ENSG00000255274",5
"ENSG00000147874",5
"ENSG00000117643",5
"ENSG00000213904",5
"ENSG00000205930",5
"ENSG00000144893",5
"ENSG00000197299",5
"ENSG00000203808",5
"ENSG00000185049",5
"ENSG00000164291",5
"ENSG00000105852",5
"ENSG00000115956",5
"ENSG00000148488",5
"ENSG00000122786",5
"ENSG00000144596",5
"ENSG00000180354",5
"ENSG00000138778",5
"ENSG00000225807",5
"ENSG00000257253",5
"ENSG00000109927",5
"ENSG00000248597",5
"ENSG00000064042",5
"ENSG00000234426",5
"ENSG00000163012",5
"ENSG00000112539",5
"ENSG00000126226",5
"ENSG00000228888",5
"ENSG00000111859",5
"ENSG00000074590",5
"ENSG00000124659",5
"ENSG00000116833",5
"ENSG00000169129",5
"ENSG00000113389",5
"ENSG00000072422",5
"ENSG00000151687",5
"ENSG00000197879",5
"ENSG00000188833",5
"ENSG00000082684",5
"ENSG00000161082",5
"ENSG00000237435",5
"ENSG00000279765",5
"ENSG00000070081",5
"ENSG00000131459",5
"ENSG00000182648",5
"ENSG00000185008",4
"ENSG00000139292",4
"ENSG00000064655",4
"ENSG00000205549",4
"ENSG00000067900",4
"ENSG00000230990",4
"ENSG00000068796",4
"ENSG00000185842",4
"ENSG00000113594",4
"ENSG00000181722",4
"ENSG00000156687",4
"ENSG00000107779",4
"ENSG00000138759",4
